stop_id,stop_name,stop_lat,stop_lon,stop_IBNR
12369,Pisz,53.63182419077,21.79292007566,436
68700,Racibórz,50.0904006231,18.2264190835,167
48355,Radom Główny,51.39107956687,21.1559020539,169
24133,Mońki,53.40236162335,22.79687370076,1287
73106,Chorzów Batory,50.27841150069,18.94469975352,4061
73700,Tychy,50.13617725106,18.96409748912,230
12336,Biała Piska,53.61494359299,22.06528369869,1041
1560,Wysoka Kamieńska,53.82558867231,14.83212091762,526
32433,Żychlin,52.21311918462,19.61909293056,1564
66142,Werbkowice,50.74553949091,23.76763342738,2278
19430,Zduńska Wola,51.61127947075,18.94675425261,260
64303,Sędziszów,50.56579676406,20.05489891086,2212
24000,Białystok,53.13357012396,23.1353969616,6
61002,Opole Wschodnie,50.67440503919,17.93445335061,6319
20909,Jabłonowo Pomorskie,53.39343883028,19.16297520632,55
39776,Sarnaki,52.32522762664,22.87979228703,1405
10934,Pasłęk,54.05549901392,19.65647127013,149
55665,Janowice Wielkie,50.87851661199,15.9187708272,6155
83584,Wróblik Szlachecki,49.61361079118,21.87836278244,3339
33605,Warszawa Centralna,52.22884143194,21.0032749828,242
27201,Opalenica,52.30964531078,16.39967456997,7330
1024,Międzyzdroje,53.92428980699,14.45527677392,124
59675,Milicz,51.52726897144,17.29508756518,6270
27805,Zielona Góra Główna,51.94743950846,15.51348489897,267
84434,Przemyśl Zasanie,49.79333476461,22.77345105872,3232
81232,Ropczyce,50.07849860682,21.58056670819,3252
79657,Bochnia,49.9773503436,20.43153122078,9
71860,Krzepice,50.96915118418,18.69702274155,4185
57513,Szczytna,50.40839787617,16.44974111974,6446
25205,Czeremcha,52.51867068876,23.35354454233,424
54007,Chojnów,51.27768932412,15.93743919253,902
32003,Mogilno,52.65857188473,17.94605076941,126
8995,Kaliska,53.90293194235,18.21579803925,5254
2204,Stargard,53.33942629473,15.03140769201,198
179223,Bohumín,49.90081976766,18.35969923854,
51862,Zgorzelec Miasto,51.15461801471,15.0201610086,266
3517,Chociwel,53.47076432765,15.33607448192,8063
22939,Susz,53.71120190409,19.32907854879,5606
40030,Parczew,51.62622126255,22.87159169588,1337
36343,Wołomin,52.34664299751,21.23811721265,1529
77701,Krzeszowice,50.13093009818,19.63411147213,3145
9555,Gamerki Wielkie,53.84500810159,20.1383468769,5135
64899,Włoszczowa Północ,50.85670346333,19.94616149783,2286
12609,Giżycko,54.03136915601,21.77804811001,42
7583,Gdańsk Oliwa,54.40984425779,18.5718739534,5150
34207,Żyrardów,52.05234533554,20.44856070399,1566
63073,Koniecpol,50.77637636512,19.69978678459,711
36103,Warszawa Gdańska,52.25911858243,20.99311973016,243
18200,Nakło nad Notecią,53.142570647,17.60715211531,512
65094,Nisko,50.5141100868,22.14069776275,2163
27300,Sulechów,52.09276931251,15.61872001401,196
261251,Rzeszów Zachodni,50.05270823989,21.99420066138,3380
21808,Iława Główna,53.58231351954,19.57368118092,53
84111,Komańcza Letnisko,49.34631051186,22.08064910969,3120
8086,Sztum,53.92566559823,19.02113221403,5619
26211,Nowy Tomyśl,52.30412409838,16.13304662706,7317
